Z,symbol,N_ANU
1,H,18
2,He,72
3,Li,127
4,Be,164
5,B,200
6,C,216
7,N,261
8,O,290
9,F,340
10,Ne,360
11,Na,418
12,Mg,432
13,Al,486
14,Si,520
15,P,558
16,S,576
17,Cl,639
18,Ar,714
19,K,701
20,Ca,720
21,Sc,792
22,Ti,864
23,V,918
24,Cr,936
25,Mn,992
26,Fe,1008
27,Co,1036
28,Ni,1064
29,Cu,1139
30,Zn,1170
31,Ga,1200
32,Ge,1276
33,As,1350
34,Se,1422
35,Br,1458
36,Kr,1464
37,Rb,1485
38,Sr,1560
39,Y,1568
40,Zr,1600
41,Nb,1620
42,Mo,1704
43,Tc,1764
44,Ru,1836
45,Rh,1908
46,Pd,1968
47,Ag,1954
48,Cd,2016
49,In,2100
50,Sn,2124
51,Sb,2220
52,Te,2229
53,I,2288
54,Xe,2298
55,Cs,2394
56,Ba,2418
57,La,2484
58,Ce,2484
59,Pr,2520
60,Nd,2604
61,Pm,2592
62,Sm,2700
63,Eu,2843
64,Gd,2808
65,Tb,2880
66,Dy,2934
67,Ho,2970
68,Er,3024
69,Tm,3060
70,Yb,3120
71,Lu,3138
72,Hf,3204
73,Ta,3240
74,W,3276
75,Re,3348
76,Os,3384
77,Ir,3420
78,Pt,3474
79,Au,3546
80,Hg,3600
81,Tl,3618
82,Pb,3672
83,Bi,3726
84,Po,3780
85,At,3834
86,Rn,3978
87,Fr,4050
88,Ra,4087
89,Ac,4134
90,Th,4218
91,Pa,4236
92,U,4248
